publisher,indexer,listed_publisher,client-id,provider-id,doi_1,doi_2,doi_3,doi_4,doi_5,doi_6,doi_7,doi_8,doi_9,doi_10,doi_figshare,doi_construction,notes
Adis Journals,DataCite,Adis Journals,figshare.ars,otjm,https://doi.org/10.6084/m9.figshare.28244423.v1,https://doi.org/10.6084/m9.figshare.28286825.v1,https://doi.org/10.6084/m9.figshare.28228490.v1,https://doi.org/10.6084/m9.figshare.28071335.v1,https://doi.org/10.6084/m9.figshare.27823053.v1,https://doi.org/10.6084/m9.figshare.27619614.v1,https://doi.org/10.6084/m9.figshare.27320757.v1,https://doi.org/10.6084/m9.figshare.26976751.v1,https://doi.org/10.6084/m9.figshare.27277653.v2,https://doi.org/10.6084/m9.figshare.26954164.v1,Y,Default Figshare,"""Adis Journals On Behalf Of"" or ""of:, AdisRapid Journals on behalf"" listed as creator.name in some but not all deposits"
AIP Publishing,DataCite,AIP Publishing,aip.figshare,aip,https://doi.org/10.60893/figshare.pof.28409162.v1,https://doi.org/10.60893/figshare.pof.c.7678403.v1,https://doi.org/10.60893/figshare.pof.c.7675382.v1,https://doi.org/10.60893/figshare.aip.c.7598084,https://doi.org/10.60893/figshare.jcp.28431872.v1,https://doi.org/10.60893/figshare.apm.c.7674146.v1,https://doi.org/10.60893/figshare.jcp.28431881.v1,https://doi.org/10.60893/figshare.bmf.c.7684571,https://doi.org/10.60893/figshare.aip.c.7588256,https://doi.org/10.60893/figshare.apl.28445345.v1,Y,Default Figshare,
American Association for Cancer Research,Crossref,American Association for Cancer Research (AACR),N/A,N/A,https://doi.org/10.1158/2159-8290.28555206,https://doi.org/10.1158/2767-9764.28553044,https://doi.org/10.1158/2767-9764.c.7704649,https://doi.org/10.1158/2767-9764.28539034,https://doi.org/10.1158/2326-6066.28531712,https://doi.org/10.1158/1535-7163.c.7702682,https://doi.org/10.1158/2326-6066.28531551,https://doi.org/10.1158/2326-6066.c.7702671,https://doi.org/10.1158/1535-7163.28531490,https://doi.org/10.1158/2326-6066.c.7702670,N,.s00*,
American Chemical Society,Crossref,American Chemical Society (ACS),N/A,N/A,https://doi.org/10.1021/acs.organomet.4c00506.s002,https://doi.org/10.1021/acssusresmgt.4c00287.s001,https://doi.org/10.1021/acs.jmedchem.5c00271.s002,https://doi.org/10.1021/acsami.5c01011.s001,https://doi.org/10.1021/acscatal.4c06489.s002,https://doi.org/10.1021/jacs.5c00386.s001,https://doi.org/10.1021/jacsau.5c00077.s005,https://doi.org/10.1021/acschembio.4c00783.s002,https://doi.org/10.1021/acs.est.4c10498.s001,https://doi.org/10.1021/acs.analchem.4c04440.s003,N,.s00*,
American Society of Agricultural and Biological Engineers,Crossref,American Society of Agricultural and Biological Engineers (ASABE),N/A,N/A,https://doi.org/10.13031/25505089.v1,https://doi.org/10.13031/22270096.v2,https://doi.org/10.13031/26319289.v1,https://doi.org/10.13031/25134386.v1,https://doi.org/10.13031/25075922.v1,https://doi.org/10.13031/22568443.v1,https://doi.org/10.13031/25565325.v1,https://doi.org/10.13031/24468367.v1,https://doi.org/10.13031/21991922.v1,https://doi.org/10.13031/16920373.v1,N,Journal DOI,"low number of deposits, some assessed deposits are several years old"
Amsterdam University Press,Crossref,Amsterdam University Press,N/A,N/A,https://doi.org/10.5117/aup.28163951.v1,https://doi.org/10.5117/aup.27114895.v1,https://doi.org/10.5117/aup.26321509.v1,https://doi.org/10.5117/aup.25684281.v1,https://doi.org/10.5117/aup.22849484.v1,https://doi.org/10.5117/aup.19248194.v1,https://doi.org/10.5117/aup.14387546.v1,https://doi.org/10.5117/aup.12855296.v2,https://doi.org/10.5117/aup.12894515.v1,https://doi.org/10.5117/aup.12894533.v2,N,Journal DOI,"low number of deposits, some assessed deposits are several years old"
ASHA Journals,DataCite,ASHA journals,figshare.asha,busk,https://doi.org/10.23641/asha.28352720.v1,https://doi.org/10.23641/asha.28304384.v1,https://doi.org/10.23641/asha.28225199.v1,https://doi.org/10.23641/asha.28300049.v1,https://doi.org/10.23641/asha.28216088.v1,https://doi.org/10.23641/asha.28098206.v1,https://doi.org/10.23641/asha.28037984.v2,https://doi.org/10.23641/asha.27973236.v1,https://doi.org/10.23641/asha.27744768.v2,https://doi.org/10.23641/asha.27183684.v1,N,Journal DOI,
Brepols,Crossref,Brepols Publishers NV,N/A,N/A,https://doi.org/10.1484/A.28104176.v1,https://doi.org/10.1484/A.25202780.v1,https://doi.org/10.1484/A.22199995.v1,https://doi.org/10.1484/A.22293046.v1,https://doi.org/10.1484/A.19235871.v1,https://doi.org/10.1484/A.14452794.v1,https://doi.org/10.1484/A.12014982.v4,https://doi.org/10.1484/A.14453112.v1,https://doi.org/10.1484/A.21674087.v1,https://doi.org/10.1484/A.23507280.v1,N,Journal DOI,"low number of deposits, some assessed deposits are several years old"
Brill,DataCite,Brill Online,figshare.ars,otjm,https://doi.org/10.6084/m9.figshare.28549067.v1,https://doi.org/10.6084/m9.figshare.28381622.v1,https://doi.org/10.6084/m9.figshare.27377406.v1,https://doi.org/10.6084/m9.figshare.28286756.v1,https://doi.org/10.6084/m9.figshare.28150925.v1,https://doi.org/10.6084/m9.figshare.27930006.v1,https://doi.org/10.6084/m9.figshare.27889110.v1,https://doi.org/10.6084/m9.figshare.27620388.v1,https://doi.org/10.6084/m9.figshare.27620112.v1,https://doi.org/10.6084/m9.figshare.27241542.v1,Y,Default Figshare,
CTSNet,DataCite,"CTSNet, Inc",figshare.ctsnet,gszc,https://doi.org/10.25373/ctsnet.28485989.v1,https://doi.org/10.25373/ctsnet.28452140.v1,https://doi.org/10.25373/ctsnet.28391804.v1,https://doi.org/10.25373/ctsnet.28271315.v1,https://doi.org/10.25373/ctsnet.27969150.v1,https://doi.org/10.25373/ctsnet.27902466.v2,https://doi.org/10.25373/ctsnet.27625374.v1,https://doi.org/10.25373/ctsnet.27292899.v2,https://doi.org/10.25373/ctsnet.27203967.v2,https://doi.org/10.25373/ctsnet.27138639.v1,N,Unclear,Figshare DOI construction did not mirror article DOIs examined in some CTSNet journals
