file,generating-script,conditional-on,includes
{date}_crossref-*institution*-objects.csv,accessory-scripts/crossref-query.py,n/a,result from Crossref from querying a single institutional name string (parsed into separate words)
{date}_crossref-*institution*-true-datasets.csv,accessory-scripts/crossref-query.py,n/a,"result from Crossref from querying a single institutional name string (parsed into separate words), filtered to remove identified 'repositories' that are not data repositories"
{date}_{publisher}_figshare-discovery-all.csv,accessory-scripts/datacite-figshare-partner-query.py,n/a,"result from DataCite records of mediated Figshare deposits merged with OpenAlex records of affiliated articles, limited to those Figshare deposits that have matched articles"
{date}_{publisher}_figshare-discovery-deduplicated.csv,accessory-scripts/datacite-figshare-partner-query.py,n/a,the previous file but deduplicated to retain only one Figshare deposit per article (i.e. how many unique articles have at least one such Figshare deposit)
{date}_{publisher}_figshare-discovery-all_metadata.csv,accessory-scripts/datacite-figshare-partner-query.py,n/a,"file-level metadata for each affiliated Figshare deposit, retrieved from the Figshare API"
{date}_{publisher}_figshare-discovery-all_metadata_combined.csv,accessory-scripts/datacite-figshare-partner-query.py,n/a,the previous two files merged together
{date}_{institution}_figshare-partners_datacite-summary_resourceType_all-publisher,accessory-scripts/datacite-figshare-partner-query_metadata-only.py,n/a,summary table of resource type counts across all publishers using Figshare for mediated deposit
{date}_{institution}_figshare-partners_datacite-summary_resourceType_per-publisher,accessory-scripts/datacite-figshare-partner-query_metadata-only.py,n/a,"summary table of resource type counts across all publishers using Figshare for mediated deposit, divided by publisher"
{date}_{institution}_figshare-partners_datacite-summary_license_per-publisher,accessory-scripts/datacite-figshare-partner-query_metadata-only.py,n/a,summary table of license counts across all publishers using Figshare for mediated deposit
{date}_{institution}_figshare-partners_datacite-summary_license_per-publisher,accessory-scripts/datacite-figshare-partner-query_metadata-only.py,n/a,"summary table of license counts across all publishers using Figshare for mediated deposit, divided by publisher"
{date}_datacite-ror-retrieval.csv,accessory-scripts/datacite-ror-query.py,n/a,result from DataCite from querying a single ROR identifier
{date}_datacite-ror-retrieval-filtered.csv,accessory-scripts/datacite-ror-query.py,n/a,"result from DataCite from querying a single ROR identifier, filtered for duplicate/overgranularized DOIs"
{date}_datacite-single-affiliation-retrieval.csv,accessory-scripts/datacite-ror-query.py,n/a,result from DataCite from querying a single institutional name string
{date}_datacite-single-affiliation-retrieval-filtered.csv,accessory-scripts/datacite-ror-query.py,n/a,"result from DataCite from querying a single institutional name string, filtered for duplicate/overgranularized DOIs"
{date}_PLOS-articles-with-data-in-SI.csv,accessory-scripts/plos-osi-search.py,n/a,subsetted version of the PLOS OSI dataset that contains affiliated articles where data are listed as being in SI
{date}_PLOS-articles-with-data-in-NCBI.csv,accessory-scripts/plos-osi-search.py,n/a,subsetted version of the PLOS OSI dataset that contains affiliated articles where data are listed as being in NCBI
{date}_{resource type}_datacite-initial-output.csv,dataset-records-retrieval.py,n/a,"tabular representation of the initial DataCite response, subsetted only for certain metadata fields; no additional processing has been done"
{date}_{resource type}_datacite-output-for-metadata-assessment.csv,dataset-records-retrieval.py,n/a,"the above file with information on which permutation and field the affiliation was detected in, some standardization and assessment of file formats, title length, and licensing"
{date}_{resource type}_full-concatenated-dataframe.csv,dataset-records-retrieval.py,n/a,"the final output after filtering, deduplication, consolidation, and categorization"
{date}_{resource type}_unique-affiliated-researchers.csv,dataset-records-retrieval.py,n/a,"a dataframe with unique researchers that were identified as being affiliated; those with multiple deposits have the metadata combined into semi-colon-delimited strings. As this is based on name matching (after use of rapidfuzz to try and handle variation in name entry), it cannot be assured that a very common name has not captured multiple distinct individuals"
{date}_DataCite-into-{repository}_joint-unmatched-dataframe.csv,dataset-records-retrieval.py,crossValidate = true,dataframe of datasets only found in a specific repository's API and not DataCite
{date}_{repository}-into-DataCite_joint-unmatched-dataframe.csv,dataset-records-retrieval.py,crossValidate = true,dataframe of datasets only found in DataCite and not in the repository's own API
{date}_datacite-additional-cross-validation.csv,dataset-records-retrieval.py,crossValidate = true,dataframe of all datasets only retrieved from a repository-specific API
{date}_{resource type}_figshare-discovery-initial.csv,dataset-records-retrieval.py,figshare_workflow_1 = true,the initial results from DataCite for all mediated Figshare deposits (regardless of listed or actual affiliation)
{date}_{resource type}_figshare-discovery-affiliated.csv,dataset-records-retrieval.py,figshare_workflow_1 = true,the previous file but subsetted to only deposits matched to an affiliated article
